nombre	appelido	leg_	partido	state	d670611	d670602	d670605	d680318	d680515a	d680515b	d680515c	d680515d	d680515e	d680515f	d680515g	d680515h	d700424	d860721	d880907	d900426	d711026
"Vargas Carbonel"	"Humberto Elias"	"d161"	"vp"	"san jose"														"no"	"no"	"yes"	
"Vargas Fernandez"	"Alfredo"	"d162"	"punif"	"heredia"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Vargas Ramirez"	"Hernan"	"d163"	"pln"	"cartago"	"yes"	"no vote"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Vega Chaves"	"Jose ademar"	"d164"	"pusc"	"san jose"														"no"	"yes"	"yes"	
"Vega Rojas"	"Jose Rafael"	"d165"	"pln"	"alajuela"	"yes"	"no"	"no vote"	"no vote"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Vicente Castro"	"Carlos Manuel"	"d166"	"pln"	"puntarenas"	"yes"	"no"	"no"	"no vote"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Villalobos Arce"	"Guillermo"	"d167"	"punif"	"san jose"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Villalobos Arias"	"Carlos Manuel"	"d168"	"pln"	"san jose"																	"yes"
"Villalobos Salazar"	"Leonel"	"d169"	"pln"	"san jose"														"yes"	"no"	"no"	
"Villalobos Villalobos"	"Federico"	"d170"	"pusc"	"alajuela"														"no"	"yes"	"yes"	
"Villanueva Badilla"	"Jorge Luis"	"d171"	"pln"	"cartago"	"yes"	"no"	"no"	"yes"	"no"	"no"	"yes"	"no"	"no"	"no"	"yes"	"yes"	"no"				
"Volio Jimenez"	"Fernando"	"d172"	"pln"	"san jose"	"no vote"	"no vote"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"				
"Volio Jimenez"	"Fernando"	"d173"	"pln"	"san jose"														"yes"	"no vote"	"yes"	
"Zamora Fonseca"	"Olga"	"d174"	"pusc"	"heredia"														"no"	"yes"	"yes"	
"Zamora Jimenez"	"Ramon Antonio"	"d175"	"punif"	"alajuela"	"yes"	"yes"	"yes"	"no vote"	"no vote"	"yes"	"yes"	"no vote"	"no vote"	"no vote"	"no vote"	"yes"	"yes"				
"Zavaleta Duran"	"Teresa"	"d176"	"pln"	"san jose"																	"yes"
